Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
TJ Jones,3000,35.78,TRUE,-3,49.5,26.25,140,DET,1,0.5,50,6,0,6,12,0,0,0,0,1.1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,5.919102779
James Washington,3400,43.51,TRUE,-8,51,29.5,122,PIT,2.333333333,0.833333333,35.7,8.166666667,0.166666667,3.5,9.8,0,0,0,0,2.6,0.333333333,0.166666667,50,2.333333333,0.166666667,7,14,0,0,0,0,1.4,5.865989003
Chris Conley,3200,35.7,TRUE,-10,53.5,31.75,96,KC,2.714285714,1.857142857,68.4,14.85714286,0.285714286,5.5,8,0,0,0,0,4.9,0.428571429,0.285714286,66.7,2.714285714,0.285714286,6.3,9.5,0,0,0,0,2.3,5.652525751
Javon Wims,3000,47.54,TRUE,-7.5,44.5,26,177,CHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.634494486
Nick Williams,3000,37.53,TRUE,-9.5,56.5,33,155,LAR,1,0.666666667,66.7,5.666666667,0,5.7,8.5,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,5.619558133
Brian Quick,3000,36.27,FALSE,-1,43,22,148,WAS,0.6,0.6,100,3.6,0,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.476389699
Daniel Brown,2500,47.54,TRUE,-7.5,44.5,26,177,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.310341268
Richie James,3000,36.59,FALSE,1,43,21,172,SF,0.25,0.25,100,1.75,0,7,7,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,5.255086021
Charone Peake,3000,46.87,FALSE,7.5,44.5,18.5,177,NYJ,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.224735125
J'mon Moore,3000,34.2,FALSE,9.5,56.5,23.5,165,GB,0.333333333,0.333333333,100,3.333333333,0,10,10,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,4.843472178
